"一工路","Yigong Rd."
"三民南路","Sanmin S. Rd."
"三民巷","Sanmin Ln."
"三民街","Sanmin St."
"三民路","Sanmin Rd."
"三民路一段","Sec. 1, Sanmin Rd."
"三民路二段","Sec. 2, Sanmin Rd."
"三民路二段正泰七巷","Zhengtai 7th Ln., Sec. 2, Sanmin Rd."
"三民路二段正泰二巷","Zhengtai 2nd Ln., Sec. 2, Sanmin Rd."
"三民路二段正泰三巷","Zhengtai 3rd Ln., Sec. 2, Sanmin Rd."
"三民路二段正泰五巷","Zhengtai 5th Ln., Sec. 2, Sanmin Rd."
"三民路二段正泰六巷","Zhengtai 6th Ln., Sec. 2, Sanmin Rd."
"三民路二段正泰四巷","Zhengtai 4th Ln., Sec. 2, Sanmin Rd."
"三民路二段正隆巷","Zhenglong Ln., Sec. 2, Sanmin Rd."
"三民路二段居仁巷","Jyuren Ln., Sec. 2, Sanmin Rd."
"三民路二段第二市場","2nd Market, Sec. 2, Sanmin Rd."
"三民路三段","Sec. 3, Sanmin Rd."
"三民路三段一心市場","Yisin Market, Sec. 3, Sanmin Rd."
"三民路大同巷","Datong Ln., Sanmin Rd."
"三民路六合巷","Liouhe Ln., Sanmin Rd."
"三民路文化巷","Wunhua Ln., Sanmin Rd."
"三民路世界巷","Shihjie Ln., Sanmin Rd."
"三民路光復巷","Guangfu Ln., Sanmin Rd."
"三民路南興巷","Nansing Ln., Sanmin Rd."
"三民路科學巷","Kesyue Ln., Sanmin Rd."
"三民路泰山巷","Taishan Ln., Sanmin Rd."
"三永巷","Sanyong Ln."
"三田路","Santian Rd."
"三甲一街","Sanjia 1st St."
"三甲七街","Sanjia 7th St."
"三甲二街","Sanjia 2nd St."
"三甲八街","Sanjia 8th St."
"三甲三街","Sanjia 3rd St."
"三甲子","Sanjiazih"
"三甲五街","Sanjia 5th St."
"三甲六街","Sanjia 6th St."
"三甲北街","Sanjia N. St."
"三甲東街","Sanjia E. St."
"三甲路","Sanjia Rd."
"三份","Sanfen"
"三光一街","Sanguang 1st St."
"三光二街","Sanguang 2nd St."
"三光北一街","Sanguang N. 1st St."
"三光北二街","Sanguang N. 2nd St."
"三光巷","Sanguang Ln."
"三光街","Sanguang St."
"三光路","Sanguang Rd."
"三全路","Sancyuan Rd."
"三合","Sanhe"
"三合街","Sanhe St."
"三合街一段","Sec. 1, Sanhe St."
"三合街二段","Sec. 2, Sanhe St."
"三合路","Sanhe Rd."
"三合寮","Sanheliao"
"三吉","Sanji"
"三吉一路","Sanji 1st Rd."
"三吉二路","Sanji 2nd Rd."
"三吉中路","Sanji Central Rd."
"三圳村溪埔巷","Sipu Ln., Sanzun Vil."
"三圳路","Sanzun Rd."
"三多一街","Sanduo 1st St."
"三多一路","Sanduo 1st Rd."
"三多七街","Sanduo 7th St."
"三多二街","Sanduo 2nd St."
"三多二路","Sanduo 2nd Rd."
"三多八街","Sanduo 8th St."
"三多三街","Sanduo 3rd St."
"三多三路","Sanduo 3rd Rd."
"三多五街","Sanduo 5th St."
"三多六街","Sanduo 6th St."
"三多四路","Sanduo 4th Rd."
"三多市場巷","Sanduo Shihchang Ln."
"三多東街","Sanduo E. St."
"三多街","Sanduo St."
"三多路","Sanduo Rd."
"三好路","Sanhao Rd."
"三安路","San'an Rd."
"三成村上林路","Shanglin Rd., Sancheng Vil."
"三成村小西路","Siaosi Rd., Sancheng Vil."
"三成村中平巷","Zhongping Ln., Sancheng Vil."
"三成街","Sancheng St."
"三成路","Sancheng Rd."
"三百六坑","Sanbailioukeng"
"三竹路","Sanzhu Rd."
"三西街","Sansi St."
"三西路","Sansi Rd."
"三坑","Sankeng"
"三坑子","Sankengzih"
"三坑老街","Sankenglao St."
"三村一街","Sancun 1st St."
"三村二街","Sancun 2nd St."
"三村路","Sancun Rd."
"三村路仁德邨","Rende Vil., Sancun Rd."
"三村路合作新村","Hezuo New Village, Sancun Rd."
"三汴街","Sanbian St."
"三角","Sanjiao"
"三角子","Sanjiaozih"
"三角仔","Sanjiaozai"
"三角店","Sanjiaodian"
"三角林","Sanjiaolin"
"三角林街","Sanjiaolin St."
"三角埔","Sanjiaopu"
"三角堀","Sanjiaoku"
"三角路","Sanjiao Rd."
"三角潭","Sanjiaotan"
"三里巷","Sanli Ln."
"三和","Sanhe"
"三和一巷","Sanhe 1st Ln."
"三和一街","Sanhe 1st St."
"三和一路","Sanhe 1st Rd."
"三和二巷","Sanhe 2nd Ln."
"三和二街","Sanhe 2nd St."
"三和二路","Sanhe 2nd Rd."
"三和二路一街","1st St., Sanhe 2nd Rd."
"三和二路二街","2nd St., Sanhe 2nd Rd."
"三和三街","Sanhe 3rd St."
"三和三路","Sanhe 3rd Rd."
"三和四路","Sanhe 4th Rd."
"三和巷","Sanhe Ln."
"三和街","Sanhe St."
"三和路","Sanhe Rd."
"三和路一段","Sec. 1, Sanhe Rd."
"三和路二段","Sec. 2, Sanhe Rd."
"三和路三段","Sec. 3, Sanhe Rd."
"三和路四段","Sec. 4, Sanhe Rd."
"三奇東路","Sanci E. Rd."
"三奇路","Sanci Rd."
"三奉路","Sanfong Rd."
"三姓","Sansing"
"三姓巷","Sansing Ln."
"三姓寮","Sansingliao"
"三姓橋路","Sansingciao Rd."
"三官路","Sanguan Rd."
"三房","Sanfang"
"三抱竹路","Sanbaozhu Rd."
"三明街","Sanming St."
"三板橋","Sanbanciao"
"三林路","Sanlin Rd."
"三油一路","Sanyou 1st Rd."
"三油二路","Sanyou 2nd Rd."
"三油路","Sanyou Rd."
"三社東路","Sanshe E. Rd."
"三社路","Sanshe Rd."
"三空泉","Sankongcyuan"
"三股","Sangu"
"三舍","Sanshe"
"三芝路","Sanzhi Rd."
"三芬路","Sanfen Rd."
"三門巷","Sanmen Ln."
"三青路","Sancing Rd."
"三俊街","Sanjyun St."
"三信路","Sansin Rd."
"三城路","Sancheng Rd."
"三星","Sansing"
"三星一巷","Sansing 1st Ln."
"三星二巷","Sansing 2nd Ln."
"三星路","Sansing Rd."
"三星路一段","Sec. 1, Sansing Rd."
"三星路七段","Sec. 7, Sansing Rd."
"三星路二段","Sec. 2, Sansing Rd."
"三星路八段","Sec. 8, Sansing Rd."
"三星路八段二三八巷長埤","Changpi, Ln. 238, Sec. 8, Sansing Rd."
"三星路八段二三六巷長埤","Changpi, Ln. 236, Sec. 8, Sansing Rd."
"三星路八段三七一巷長埤","Changpi, Ln. 371, Sec. 8, Sansing Rd."
"三星路八段長埤","Changpi, Sec. 8, Sansing Rd."
"三星路三段","Sec. 3, Sansing Rd."
"三星路三段三六五巷安農新邨","Annong New Village, Ln. 365, Sec. 3, Sanxing Rd."
"三星路五段","Sec. 5, Sansing Rd."
"三星路六段","Sec. 6, Sansing Rd."
"三星路四段","Sec. 4, Sansing Rd."
"三星路永福巷","Yongfu Ln., Sansing Rd."
"三星路福德巷","Fude Ln., Sansing Rd."
"三春路","Sanchun Rd."
"三洽坑","Sanciakeng"
"三界公坑","Sanjiegongkeng"
"三界埔","Sanjiepu"
"三界壇後","Sanjietanhou"
"三界壇路","Sanjietan Rd."
"三皇路","Sanhuang Rd."
"三美庄","Sanmeizhuang"
"三美路","Sanmei Rd."
"三英路","Sanying Rd."
"三重一路","Sanchong 1st Rd."
"三重二路","Sanchong 2nd Rd."
"三重三路","Sanchong 3rd Rd."
"三重中路","Sanchong Central Rd."
"三重西路","Sanchong W. Rd."
"三重東路","Sanchong E. Rd."
"三重埔","Sanchongpu"
"三重溪埔","Sanchongsipu"
"三重路","Sanchong Rd."
"三重橋","Sanchong Bridge"
"三香路","Sansiang Rd."
"三厝西一巷","Sancuo W. 1st Ln."
"三厝西二巷","Sancuo W. 2nd Ln."
"三厝東一巷","Sancuo E. 1st Ln."
"三厝東二巷","Sancuo E. 2nd Ln."
"三厝街","Sancuo St."
"三埔","Sanpu"
"三峰一路","Sanfong 1st Rd."
"三峰二路","Sanfong 2nd Rd."
"三峰三路","Sanfong 3rd Rd."
"三峰路一段","Sec. 1, Sanfong Rd."
"三峰路二段","Sec. 2, Sanfong Rd."
"三崁店","Sankandian"
"三崁路","Sankan Rd."
"三座屋","Sanzuowu"
"三座巷","Sanzuo Ln."
"三座路","Sanzuo Rd."
"三桃巷","Santao Ln."
"三泰街","Santai St."
"三泰路","Santai Rd."
"三軒","Sansyuan"
"三區","Sancyu"
"三商街","Sanshang St."
"三堵一路","Sandu 1st Rd."
"三堵二路","Sandu 2nd Rd."
"三堵三路","Sandu 3rd Rd."
"三堵五路","Sandu 5th Rd."
"三堵路","Sandu Rd."
"三崗路","Sangang Rd."
"三張街","Sanzhang St."
"三條圳一街","Santiaozun 1st St."
"三條圳二街","Santiaozun 2nd St."
"三條峎","Santiaolang"
"三條巷","Santiao Ln."
"三條街","Santiao St."
"三清路","Sancing Rd."
"三盛","Sansheng"
"三脚石","Sanjiaoshih"
"三脚猫","Sanjiaomao"
"三連路","Sanlian Rd."
"三部一路","Sanbu 1st Rd."
"三部七路","Sanbu 7th Rd."
"三部九路","Sanbu 9th Rd."
"三部二路","Sanbu 2nd Rd."
"三部八路","Sanbu 8th Rd."
"三部十路","Sanbu 10th Rd."
"三部三路","Sanbu 3rd Rd."
"三部五路","Sanbu 5th Rd."
"三部六路","Sanbu 6th Rd."
"三富街","Sanfu St."
"三富橋","Sanfu Bridge"
"三棧","Sanzhan"
"三港","Sangang"
